Player,Age,Pos,GP,G,A,S,PS,BLK,-9999
Tanner Jeannot,26,F,55,7,7,59,0.6,27,jeannta01
Erik Černák,26,D,69,2,11,53,3.0,109,cernaer01
Luke Glendening,34,C,81,10,1,57,0.4,53,glendlu01
Calvin de Haan,32,D,59,3,7,56,1.5,82,dehaaca01
Alex Barré-Boulet,26,F,36,6,3,46,0.5,8,barreal01
Tyler Motte,28,C,69,6,3,83,-0.2,41,mottety01
Mitchell Chaffee,26,F,30,4,3,27,0.6,20,chaffmi01
Haydn Fleury,27,D,24,1,4,25,1.3,40,fleurha01
Emil Martinsen Lilleberg,22,D,37,0,5,31,-0.1,48,martiem01
Austin Watson,32,LW,33,2,2,17,0.3,20,watsoau01
Maxwell Crozier,23,D,13,0,2,13,0.2,11,crozima01
Mathew Dumba,29,D,18,0,2,25,0.1,24,dumbama01
Cole Koepke,25,LW,9,0,2,9,0.1,1,koepkco01
Andrei Vasilevskiy,29,G,52,0,2,0,7.9,0,vasilan02
Waltteri Merela,25,F,19,1,0,17,0.0,6,merelwa01
Zach Bogosian,33,D,4,0,0,6,0.0,2,bogosza01
Declan Carlile,23,D,1,0,0,0,0.1,2,carlide01
Gage Goncalves,23,C,2,0,0,0,0.0,0,goncaga01
Jonas Johansson,28,G,26,0,0,0,3.3,0,johanjo03
Philippe Myers,27,D,5,0,0,6,-0.1,6,myersph01
Jack Thompson,21,D,1,0,0,1,0.0,0,thompja01
Matt Tomkins,29,G,6,0,0,0,0.8,0,tomkima01
Lucas Raymond,21,LW,82,31,41,163,7.1,27,raymolu01
Dylan Larkin,27,C,68,33,36,221,7.7,34,larkidy01
Alex DeBrincat,26,RW,82,27,40,237,6.7,35,debrial01
Shayne Gostisbehere,30,D,81,10,46,139,6.4,75,gostish01
J.T. Compher,28,LW,77,19,29,108,3.8,59,comphj.01
Patrick Kane,35,RW,50,20,27,147,4.8,13,kanepa01
David Perron,35,LW,76,17,30,151,3.8,27,perroda01
Daniel Sprong,26,RW,76,18,25,160,4.2,15,spronda01
Moritz Seider,22,D,82,9,33,135,5.8,213,seidemo01
Andrew Copp,29,C,79,13,20,109,2.2,51,coppan01
Michael Rasmussen,24,C,75,13,20,101,2.8,76,rasmumi01
Robby Fabbri,28,C,68,18,14,97,2.9,29,fabbrro01
Joe Veleno,24,C,80,12,16,86,1.4,35,velenjo01
Jeff Petry,36,D,73,3,21,84,3.1,134,petryje01
Jake Walman,27,D,63,12,9,108,4.0,151,walmaja01
Ben Chiarot,32,D,77,5,15,107,3.2,167,chiarbe01
Christian Fischer,26,RW,79,5,14,86,0.8,32,fischch01
Olli Määttä,29,D,72,4,14,48,4.0,96,maattol01
Jonatan Berggren,23,RW,12,2,4,14,0.5,7,berggjo02
Justin Holl,32,D,38,0,5,14,1.5,39,hollju01
Klim Kostin,24,C,33,3,1,22,0.1,5,kostikl01
Simon Edvinsson,20,D,16,1,1,13,0.5,25,edvinsi01
Austin Czarnik,31,C,34,0,1,24,-0.5,16,czarnau01
Ville Husso,28,G,19,0,1,0,2.6,0,hussovi01
Alex Lyon,31,G,44,0,1,0,7.7,0,lyonal01
Zach Aston-Reese,29,C,3,0,0,1,0.0,0,astonza01
Michael Hutchinson,33,G,1,0,0,0,0.3,0,hutchmi01
James Reimer,35,G,25,0,0,0,4.2,0,reimeja01
Alex Tuch,27,RW,75,22,37,192,6.0,82,tuchal01
Rasmus Dahlin,23,D,81,20,39,235,9.4,154,dahlira01
Tage Thompson,26,C,71,29,27,246,6.3,29,thompta01
John-Jason Peterka,22,RW,82,28,22,226,5.9,18,peterjo01
Dylan Cozens,22,C,79,18,29,200,4.1,27,cozendy01
Casey Mittelstadt,25,C,62,14,33,102,4.7,23,mitteca01
Jeff Skinner,31,LW,74,24,22,211,5.0,13,skinnje01
Owen Power,21,D,76,6,27,108,6.0,115,powerow01
Zach Benson,18,LW,71,11,19,98,2.3,35,bensoza01
Jordan Greenway,26,LW,67,10,18,107,2.3,65,greenjo02
Kyle Okposo,35,RW,61,12,10,106,2.1,34,okposky01
Henri Jokiharju,24,D,74,3,17,84,4.5,106,jokihhe01
Jack Quinn,22,RW,27,9,10,56,2.1,12,quinnja01
Connor Clifton,28,D,79,4,14,77,4.2,117,cliftco01
Peyton Krebs,23,C,80,4,13,74,0.5,23,krebspe01
Victor Olofsson,28,RW,51,7,8,66,1.2,10,olofsvi01
Zemgus Girgensons,30,C,63,8,6,73,0.9,36,girgeze01
Bowen Byram,22,D,18,3,6,21,1.5,29,byrambo01
Eric Robinson,28,LW,40,2,7,52,0.4,8,robiner01
Jacob Bryson,26,D,36,1,7,15,1.7,40,brysoja01
Mattias Samuelsson,23,D,41,1,6,44,1.8,87,samuema02
Ryan Johnson,22,D,41,0,7,35,1.4,39,johnsry03
Tyson Jost,25,C,43,3,3,48,-0.2,20,jostty01
Erik Johnson,35,D,50,3,0,40,0.8,68,johnser01
Brandon Biro,25,F,5,2,0,2,0.3,2,birobr01
Lukáš Rousek,24,RW,15,0,2,4,-0.1,7,rouselu01
Kale Clague,25,D,3,0,1,2,0.1,0,claguka01
Ukko-Pekka Luukkonen,24,G,54,0,1,0,9.5,0,luukkuk01
Eric Comrie,28,G,10,0,0,0,0.7,0,comrier01
Jiri Kulich,19,C,1,0,0,1,-0.1,0,kulicji01
Devon Levi,22,G,23,0,0,0,3.6,0,levide01
Brett Murray,25,LW,2,0,0,1,-0.1,0,murrabr02
Isak Rosen,20,RW,7,0,0,8,-0.2,2,rosenis01
Matthew Savoie,20,C,1,0,0,0,0.0,0,savoima01
Brady Tkachuk,24,LW,81,37,37,357,8.2,34,tkachbr01
Tim Stützle,22,LW,75,18,52,192,5.3,41,stuetti02
Drake Batherson,25,C,82,28,38,196,6.3,33,bathedr01
Claude Giroux,36,C,82,21,43,183,5.0,30,giroucl01
Vladimir Tarasenko,32,RW,57,17,24,116,4.6,30,tarasvl01
Jakob Chychrun,25,D,82,14,27,204,4.7,154,chychja01
Jake Sanderson,21,D,79,10,28,158,6.8,139,sandeja01
Mathieu Joseph,26,RW,72,11,24,124,2.4,49,josepma01
Joshua Norris,24,C,50,16,14,115,2.8,30,norrijo01
Thomas Chabot,27,D,51,9,21,118,4.6,88,chaboth01
Shane Pinto,23,C,41,9,18,110,2.6,31,pintosh01
Ridly Greig,21,C,72,13,13,97,2.4,41,greigri01
Artem Zub,28,D,69,5,20,85,4.5,122,zubar01
Erik Brännström,24,D,76,3,17,77,3.7,111,branner01
Parker Kelly,24,F,80,8,10,86,0.7,67,kellypa01
Dominik Kubalík,28,LW,74,11,4,91,0.0,20,kubaldo01
Jacob Bernard-Docker,23,D,72,4,10,51,2.2,156,bernaja01
Mark Kastelic,24,C,63,5,5,60,0.5,31,kastema01
Travis Hamonic,33,D,48,2,4,50,0.6,75,hamontr01
Boris Katchouk,25,LW,21,2,2,18,0.1,1,katchbo01
Rourke Chartier,27,C,37,2,1,40,-0.3,11,chartro01
Angus Crookshank,24,LW,13,2,1,20,0.2,8,crookan01
Zack MacEwen,27,C,30,2,1,17,0.0,7,macewza01
Jiri Smejkal,27,F,20,1,1,10,-0.2,13,smejkji01
Matthew Highmore,27,LW,7,0,2,1,0.1,4,highmma01
Anton Forsberg,31,G,30,0,1,0,3.4,0,forsban01
Roby Jarventie,21,LW,7,0,1,5,-0.2,6,jarvero01
Tyler Kleven,22,D,9,0,1,7,0.1,9,klevety01
Joonas Korpisalo,29,G,55,0,1,0,6.6,0,korpijo01
Max Guenette,22,D,7,0,0,6,0.0,6,guenema01
Bokondji Imama,27,LW,6,0,0,1,0.0,1,imamabo01

Nikolas Matinpalo,25,D,4,0,0,2,0.1,2,matinni01
Zack Ostapchuk,20,C,7,0,0,5,-0.2,6,ostapza01
Mads Søgaard,23,G,6,0,0,0,0.2,0,sogaama01
Nick Suzuki,24,C,82,33,44,185,7.3,48,suzukni01
Cole Caufield,23,RW,82,28,37,314,6.3,22,caufico01
Mike Matheson,29,D,82,11,51,187,6.7,186,mathemi01
Juraj Slafkovsky,19,LW,82,20,30,152,3.7,71,slafkju01
Sean Monahan,29,C,49,13,22,104,2.8,24,monahse01
Alex Newhook,23,C,55,15,19,85,2.8,31,newhoal01
Brendan Gallagher,31,RW,77,16,15,154,2.0,35,gallabr01
Jake Evans,27,C,82,7,21,81,1.2,65,evansja02
Joel Armia,30,RW,66,17,8,139,2.5,41,armiajo01
David Savard,33,D,60,6,18,54,3.6,163,savarda01
Kaiden Guhle,22,D,70,6,16,95,3.1,178,guhleka01
Josh Anderson,29,RW,78,9,11,141,0.2,40,anderjo05
Jordan Harris,23,D,56,3,11,43,1.9,86,harrijo01
Justin Barron,22,D,48,7,6,60,2.3,59,barroju01
Johnathan Kovacevic,26,D,62,6,7,46,3.3,83,kovacjo01
Tanner Pearson,31,LW,54,5,8,77,0.2,35,pearsta01
Michael Pezzetta,25,C,61,3,9,42,0.8,29,pezzemi01
Jayden Struble,22,D,56,3,7,47,1.6,53,strubja01
Arber Xhekaj,23,D,44,3,7,61,2.1,49,xhekaar01
Rafaël Harvey-Pinard,25,LW,45,2,8,26,0.2,47,harvera01
Christian Dvorak,27,C,30,5,4,35,0.4,19,dvorach01
Joshua Roy,20,RW,23,4,5,34,0.7,21,royjo01
Jesse Ylönen,24,RW,59,4,4,50,0.2,32,yloneje01
Gustav Lindström,25,D,14,3,1,15,0.8,23,lindsgu01
Mitchell Stephens,26,C,23,2,1,16,0.2,7,stephmi01
Kirby Dach,23,C,2,0,2,3,0.2,0,dachki01
Lane Hutson,19,D,2,0,2,3,0.1,0,hutsola01
Sam Montembeault,27,G,41,0,2,0,7.4,0,montesa01
Cayden Primeau,24,G,23,0,2,0,4.7,0,primeca01
Brandon Gignac,26,C,7,1,0,7,0.0,7,gignabr01
Jake Allen,33,G,21,0,1,1,3.2,0,allenja01
Logan Mailloux,20,D,1,0,1,2,0.2,1,mailllo01
Lucas Condotta,26,F,3,0,0,2,0.0,1,condolu01
Emil Heineman,22,LW,4,0,0,0,0.0,1,heineem01
Colin White,27,C,17,0,0,8,-0.4,7,whiteco02
