Player,Age,Pos,GP,G,A,S,PS,BLK,-9999
Brandon Duhaime,26,RW,18,1,4,24,0.3,8,duhaibr01
Caleb Jones,26,D,25,0,5,19,0.9,26,jonesca01
Yakov Trenin,27,C,16,2,1,22,0.2,10,treniya01
Kurtis MacDermid,29,D,29,2,0,12,0.6,9,macdeku01
Riley Tufte,25,LW,5,1,1,7,0.1,2,tufteri01
Chris Wagner,32,C,13,1,1,16,0.2,5,wagnech01
Alexandar Georgiev,27,G,63,0,2,0,9.0,0,georgal01
Jean-Luc Foudy,21,C,4,1,0,2,0.2,0,foudyje01
Ben Meyers,25,F,9,1,0,7,0.0,0,meyerbe01
Jason Polin,24,F,7,1,0,6,0.1,1,polinja01
Justus Annunen,23,G,14,0,0,0,3.4,0,annunju01
Oskar Olausson,21,RW,1,0,0,2,0.0,2,olausos01
Ondrej Pavel,23,F,2,0,0,3,-0.1,0,pavelon02
Ivan Prosvetov,24,G,11,0,0,0,1.2,0,prosviv01
Filip Forsberg,29,C,82,48,46,347,11.7,44,forsbfi01
Roman Josi,33,D,82,23,62,268,12.8,151,josiro01
Gustav Nyquist,34,RW,81,23,52,153,7.3,38,nyquigu01
Ryan O'Reilly,32,C,82,26,43,180,6.6,56,oreilry01
Thomas Novak,26,C,71,18,27,113,4.3,31,novakth01
Luke Evangelista,21,RW,80,16,23,172,3.4,23,evanglu01
Colton Sissons,30,C,81,15,20,131,2.3,57,sissoco01
Ryan McDonagh,34,D,74,3,29,91,5.9,139,mcdonry01
Kiefer Sherwood,28,RW,68,10,17,110,2.8,22,sherwki01
Cole Smith,28,F,80,9,14,112,1.4,32,smithco02
Michael McCarron,28,RW,70,12,10,94,1.9,55,mccarmi01
Philip Tomasino,22,C,41,7,13,62,1.5,18,tomasph01
Alexandre Carrier,27,D,73,4,16,77,3.8,137,carrial01
Mark Jankowski,29,C,32,7,8,48,1.8,11,jankoma01
Tyson Barrie,32,D,41,1,14,65,1.4,47,barrity01
Yakov Trenin,27,C,60,10,4,94,1.2,26,treniya01
Jeremy Lauzon,26,D,79,6,8,103,2.8,111,lauzoje01
Cody Glass,24,C,41,6,7,82,0.6,20,glassco01
Dante Fabbro,25,D,56,3,10,65,2.9,88,fabbrda01
Juuso Pärssinen,22,C,44,8,4,54,0.6,15,parssju01
Jason Zucker,32,LW,18,5,2,46,0.6,4,zuckeja01
Luke Schenn,34,D,63,1,6,81,1.5,76,schenlu01
Spencer Stastney,24,D,20,2,2,11,1.5,29,stastsp01
Anthony Beauvillier,26,LW,15,1,2,32,-0.1,9,beauvan01
Marc Del Gaizo,24,D,9,0,3,8,0.5,10,delgama01
Liam Foudy,23,C,12,0,3,7,0.0,4,foudyli01
Denis Gurianov,26,RW,14,1,1,22,0.1,6,guriade01
Juuse Saros,28,G,64,0,2,0,11.1,0,sarosju01
Samuel Fagemo,23,LW,4,1,0,7,0.1,3,fagemsa01
Kevin Lankinen,28,G,24,0,1,0,3.8,0,lankike01
Egor Afanasyev,23,LW,2,0,0,5,-0.1,2,afanaeg01
Jaret Anderson-Dolan,24,C,1,0,0,2,-0.1,1,anderja01
Yaroslav Askarov,21,G,2,0,0,0,0.3,0,askarya01
Robert Thomas,24,C,82,26,60,170,8.6,47,thomaro01
Jordan Kyrou,25,C,82,31,36,251,6.8,32,kyroujo01
Pavel Buchnevich,28,LW,80,27,36,207,6.5,28,buchnpa01
Brayden Schenn,32,C,82,20,26,170,3.4,51,schenbr01
Brandon Saad,31,LW,82,26,16,144,4.6,16,saadbr01
Torey Krug,32,D,77,4,35,162,3.7,111,krugto01
Jake Neighbours,21,LW,77,27,11,145,3.9,45,neighja01
Justin Faulk,31,D,60,2,28,132,4.3,104,faulkju01
Kevin Hayes,31,RW,79,13,16,153,2.4,17,hayeske01
Nick Leddy,32,D,82,3,25,82,5.9,127,leddyni01
Colton Parayko,30,D,82,10,16,154,5.8,218,parayco01
Kasperi Kapanen,27,RW,73,6,16,99,1.0,27,kapanka01
Alexey Toropchenko,24,RW,82,14,7,114,1.8,55,toropal01
Oskar Sundqvist,29,C,71,6,15,68,1.0,49,sundqos01
Scott Perunovich,25,D,54,0,17,36,2.6,53,perunsc01
Nathan Walker,29,C,45,7,6,43,1.2,35,walkena01
Zachary Bolduc,20,C,25,5,4,38,0.9,12,bolduza01
Marco Scandella,33,D,65,2,6,42,2.0,49,scandma01
Sammy Blais,27,LW,53,1,6,33,-0.4,19,blaissa01
Matthew Kessel,23,D,39,1,6,28,1.5,65,kessema01
Jakub Vrána,27,LW,21,2,4,42,0.1,4,vranaja01
Jordan Binnington,30,G,57,0,3,0,11.9,0,binnijo01
Tyler Tucker,23,D,26,1,1,17,0.7,27,tuckety01
Nikita Alexandrov,23,C,23,0,2,15,-0.2,7,alexani01
